Run,Agent_id,Agent_kind,Path_length,x_position,y_position,last_movement_direction,n_eaten
0,0,mouse,0,584,1214,0,0
0,0,mouse,1,520,1150,NW,0
0,0,mouse,2,456,1086,NW,0
0,0,mouse,3,455,1087,NE,0
0,0,mouse,4,391,1023,NW,0
0,0,mouse,5,327,959,NW,0
0,0,mouse,6,263,895,NW,0
0,0,mouse,7,264,896,SE,0
0,900,cat,0,395,898,0,0
0,900,cat,1,381,884,SE,0
0,900,cat,2,378,887,SW,1
0,900,cat,3,383,882,NE,1
0,900,cat,4,383,880,E,2
0,900,cat,5,392,871,NE,2
0,900,cat,6,403,860,NE,2
0,900,cat,7,384,841,SE,2
0,1,mouse,0,694,807,0,0
0,1,mouse,1,735,848,SE,0
0,1,mouse,2,694,889,NE,0
0,1,mouse,3,735,930,SE,0
0,1,mouse,4,776,971,SE,0
0,1,mouse,5,775,970,NW,0
0,1,mouse,6,775,969,W,0
0,901,cat,0,159,718,0,0
0,901,cat,1,189,748,NW,1
0,901,cat,2,217,776,NW,1
0,901,cat,3,235,758,NE,1
0,901,cat,4,269,792,NW,1
0,901,cat,5,266,795,SW,1
0,901,cat,6,243,818,SW,1
0,901,cat,7,261,836,NW,1
0,2,mouse,0,991,225,0,0
0,2,mouse,1,996,230,NW,0
0,2,mouse,2,139,1390,N,1
0,2,mouse,3,139,1389,W,1
0,902,cat,0,318,919,0,0
0,902,cat,1,334,903,NE,0
0,902,cat,2,330,899,SE,1
0,902,cat,3,315,914,SW,1
0,902,cat,4,308,921,SW,1
0,902,cat,5,315,928,NW,1
0,902,cat,6,315,930,W,2
0,902,cat,7,330,915,NE,2
0,3,mouse,0,333,981,0,0
0,3,mouse,1,332,982,NE,0
0,3,mouse,2,314,964,NW,0
0,3,mouse,3,296,946,NW,0
0,3,mouse,4,314,928,SW,0
0,3,mouse,5,315,929,SE,0
0,3,mouse,6,315,930,E,0
0,903,cat,0,610,1145,0,0
0,903,cat,1,615,1150,NW,0
0,903,cat,2,620,1155,NW,0
0,903,cat,3,625,1160,NW,0
0,903,cat,4,630,1160,N,0
0,903,cat,5,634,1160,N,1
0,903,cat,6,629,1165,SW,1
0,903,cat,7,634,1170,NW,1
0,4,mouse,0,793,227,0,0
